1.6	2.00
1.5	1.99
1.7	1.98
1.4	1.97
1.8	1.95
1.3	1.93
1.9	1.89
1.2	1.86
2	1.82
1.1	1.78
2.1	1.73
1	1.68
2.2	1.62
0.9	1.57
2.3	1.49
0.8	1.43
2.4	1.35
0.7	1.29
2.5	1.20
0.6	1.13
2.6	1.03
0.5	0.96
2.7	0.85
0.4	0.78
2.8	0.67
0.3	0.59
2.9	0.48
0.2	0.40
3	0.28
0.1	0.20
3.1	0.08
6.3	0.03
0	0.00
3.2	-0.12
6.2	-0.17
3.3	-0.32
6.1	-0.36
3.4	-0.51
6	-0.56
3.5	-0.70
5.9	-0.75
3.6	-0.89
5.8	-0.93
3.7	-1.06
5.7	-1.10
3.8	-1.22
5.6	-1.26
3.9	-1.38
5.5	-1.41
4	-1.51
5.4	-1.55
4.1	-1.64
5.3	-1.66
4.2	-1.74
5.2	-1.77
4.3	-1.83
5.1	-1.85
4.4	-1.90
5	-1.92
4.5	-1.96
4.9	-1.96
4.6	-1.99
4.8	-1.99
4.7	-2.00
